Date,BTC_hist_var,ETH_hist_var,SNT_hist_var,EUR_hist_var,BTC_model_var,ETH_model_var,SNT_model_var,EUR_model_var
2024-02-17,-0.0496477089778331,-0.06482366899765254,-0.07914116952175249,-0.007742149889435726,-0.035978609393445035,-0.04361855773509186,-0.08926899612253061,-0.006902526450212065
2024-02-18,-0.04963908055738297,-0.06481582420950444,-0.07908844454782056,-0.00772724490859776,-0.03817493049839396,-0.046567841207137986,-0.08981044921670378,-0.007393195523036956
2024-02-19,-0.04963045213693284,-0.06480797942135634,-0.07903571957388862,-0.007712339927759794,-0.024020875577615015,-0.03065125248540118,-0.09051508710261294,-0.007814283896849648
2024-02-20,-0.04962182371648271,-0.06480013463320823,-0.07898299459995668,-0.007697434946921826,-0.04821219663733737,-0.057522948546877783,-0.09260557902257577,-0.007164398467467022
2024-02-21,-0.04961319529603258,-0.06479228984506014,-0.07893026962602474,-0.00768252996608386,-0.04780464501715615,-0.059644284588521924,-0.08676525597123005,-0.006822958714877139
2024-02-22,-0.04960456687558245,-0.06478444505691203,-0.07887754465209279,-0.007667624985245892,-0.038887957215279885,-0.048344146007646284,-0.07934032601118672,-0.007191555134499417
2024-02-23,-0.04959593845513232,-0.06477660026876392,-0.07882481967816087,-0.007652720004407926,-0.030232446816281774,-0.036230089218963174,-0.09178222382651406,-0.0073710938798753935
2024-02-24,-0.04958731003468219,-0.06476875548061582,-0.07877209470422893,-0.00763781502356996,-0.027106099269308282,-0.03301104433639759,-0.09325579385061261,-0.007442463540391624
2024-02-25,-0.04957868161423206,-0.06476091069246771,-0.07871936973029699,-0.0076229100427319925,-0.04736802513089413,-0.057685751405320354,-0.09338682790952355,-0.007585064025415692
2024-02-26,-0.04957005319378193,-0.06475306590431962,-0.07866664475636505,-0.0076080050618940265,-0.03636877890781682,-0.04635123247624024,-0.0839556143520646,-0.007402145636899778
2024-02-27,-0.0495614247733318,-0.06474522111617151,-0.0786139197824331,-0.007593100081056059,-0.03229778145904614,-0.042246709330011664,-0.07789594938354037,-0.006407717691124803
2024-02-28,-0.04955279635288167,-0.0647373763280234,-0.07856119480850117,-0.007578195100218093,-0.03810515583963818,-0.04938079873780918,-0.07825320419305455,-0.00672903417828063
2024-02-29,-0.04954416793243154,-0.0647295315398753,-0.07850846983456923,-0.007563290119380127,-0.031227209245777175,-0.04427385554729717,-0.07608187110135216,-0.006595627456217272
2024-03-01,-0.04953553951198141,-0.0647216867517272,-0.07845574486063729,-0.007548385138542159,-0.025339806432972317,-0.030927316522911596,-0.08686979935546102,-0.0068629403855168004
2024-03-02,-0.04952691109153127,-0.06471384196357907,-0.07840301988670534,-0.007533480157704205,-0.019296987621045897,-0.021453325221094523,-0.10211303569530798,-0.007136693921067956
2024-03-03,-0.04950305382850793,-0.0646862993098815,-0.0783413941787091,-0.0075328173564907985,-0.04803547198556313,-0.05721977586588608,-0.09419594172086017,-0.007456865486454451
2024-03-04,-0.049479196565484586,-0.06465875665618392,-0.07827976847071286,-0.007532154555277392,-0.0269023597684521,-0.033476504446424714,-0.0888973731559911,-0.007445092279174614
2024-03-05,-0.049455339302461244,-0.06463121400248635,-0.07821814276271663,-0.007531491754063985,-0.07264934673281993,-0.09363700621246349,-0.07333729191490272,-0.006233132813865362
2024-03-06,-0.0494314820394379,-0.06460367134878876,-0.07924661946961638,-0.007530828952850579,-0.025758350918272586,-0.03324186995771523,-0.07895362968434233,-0.006816795926104465
2024-03-07,-0.04965633739828323,-0.06457612869509119,-0.07919389449568444,-0.007530166151637172,-0.023005398863774573,-0.026696225880419606,-0.09694085649889209,-0.006805095284048762
2024-03-08,-0.0496477089778331,-0.06454858604139362,-0.07914116952175249,-0.007529503350423765,-0.04036520611856064,-0.05002877870676388,-0.08382444801295703,-0.0070014455055528195
2024-03-09,-0.04963908055738297,-0.06452104338769604,-0.07908844454782056,-0.007528840549210359,-0.0251237253236989,-0.030255407838278563,-0.08778552649780537,-0.007047914228957797
