Date,BTC,ETH,SNT,EUR
25/03/2023,27450.90702,1752.048145,0.02637594759,0.9275
24/03/2023,28296.5687,1817.5739,0.02654658633,0.92916
23/03/2023,27261.75281,1737.079609,0.02758093818,0.91787
22/03/2023,28123.81235,1807.05676,0.02673865148,0.92628
21/03/2023,27723.8116,1735.6002,0.02878961991,0.92859
20/03/2023,27960.5165,1784.5718,0.0265663733,0.93253
19/03/2023,26900.8707,1760.965614,0.02812039598,0.93005
18/03/2023,27388.766,1792.4757,0.02716844951,0.93005
17/03/2023,24998.6655,1676.7374,0.0278528044,0.93747
16/03/2023,24286.70022,1654.816805,0.0262936002,0.94157
15/03/2023,24694.4961,1704.6536,0.02582853693,0.94832
14/03/2023,24110.2102,1680.7611,0.02691745059,0.93305
13/03/2023,21996.35382,1588.370359,0.02599808444,0.93154
12/03/2023,20452.2228,1477.9536,0.02460502104,0.9383
11/03/2023,20152.93496,1430.164533,0.02329769063,0.9383
10/03/2023,20370.0069,1438.2141,0.02282094263,0.93775
09/03/2023,21704.00142,1533.519046,0.02293303818,0.94529
08/03/2023,22197.6588,1561.062,0.02464795405,0.94748
07/03/2023,22402.4204,1566.02,0.0258522447,0.94553
06/03/2023,22428.6582,1564.4943,0.02651178277,0.93552
05/03/2023,22347.03072,1567.734502,0.02672615348,0.93895
04/03/2023,22354.893,1569.2871,0.02673323695,0.93895
03/03/2023,23466.6755,1648.1644,0.02693337409,0.94202
02/03/2023,23638.9824,1665.9322,0.02918833999,0.94384
01/03/2023,23126.84311,1604.180853,0.0303259787,0.93714
28/02/2023,23495.24032,1633.628754,0.0298825515,0.94268
27/02/2023,23556.2553,1641.376,0.03117285218,0.94394
26/02/2023,23164.8803,1595.675,0.02981587256,0.9448
